"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
32.09,-65.8025042558304,-65.9097844134397
32.1,-66.0495055820382,-66.1554849337222
32.11,-66.2945223549088,-66.3992175244837
32.12,-66.5375782568612,-66.6410055326656
32.13,-66.7786965109605,-66.8808718543808
32.14,-67.0178998931998,-67.1188389469001
32.15,-67.2552107443572,-67.3549288402256
32.16,-67.4906509814834,-67.5891631482724
32.17,-67.7242421089761,-67.8215630796715
32.18,-67.9560052292696,-68.052149448217
32.19,-68.1859610532276,-68.2809426829608
32.2,-68.4141299100947,-68.5079628379794
32.21,-68.640531757207,-68.7332296018202
32.22,-68.865186189306,-68.9567623066404
32.23,-69.0881124476822,-69.1785799370525
32.24,-69.3093294288284,-69.3987011386881
32.25,-69.5288556930125,-69.617144226487
32.26,-69.7467094724195,-69.8339271927296
32.27,-69.9629086791716,-70.0490677148109
32.28,-70.1774709129565,-70.2625831627787
32.29,-70.3904134685662,-70.4744906066395
32.3,-70.6017533430845,-70.6848068234342
32.31,-70.8115072429027,-70.893548304104
32.32,-71.0196915905152,-71.1007312601509
32.33,-71.2263225311405,-71.3063716300852
32.34,-71.4314159390663,-71.5104850857009
32.35,-71.6349874238962,-71.7130870381462
32.36,-71.8370523365219,-71.9141926438273
32.37,-72.0376257749785,-72.1138168101351
32.38,-72.2367225901463,-72.3119742010032
32.39,-72.4343573912016,-72.5086792423145
32.4,-72.6305445510093,-72.7039461271418
32.41,-72.8252982112207,-72.8977888208489
32.42,-73.0186322874684,-73.0902210660393
